,monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
project0194.csv,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13.5,58.0,10.0,0.0
project0195.csv,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.5,15.0,2.0,0.0
project0196.csv,19.0,3.0,3.0,1.0,2.0,1.0,20.0,1.0,37.0,23.0,5.0,0.0
project0197.csv,12.0,1.0,0.5,0.0,0.5,0.5,0.0,5.0,21.0,16.0,2.0,0.0
project0198.csv,23.0,3.0,7.0,1.0,5.0,1.0,16.0,0.0,34.0,21.0,2.0,0.0
project0199.csv,8.0,3.0,3.0,0.0,1.0,1.0,20.0,2.0,37.0,63.0,11.0,1.0
project0200.csv,10.5,2.0,2.0,0.0,1.0,1.0,2.0,0.5,7.5,10.0,1.0,0.0
project0201.csv,20.5,5.5,12.0,1.5,9.0,4.0,62.5,2.0,68.5,19.0,4.0,0.5
project0202.csv,233.5,10.0,34.0,1.0,29.0,6.0,40.0,1.0,130.5,24.5,5.0,0.0
project0203.csv,71.5,5.0,8.5,1.0,7.0,2.0,4.0,2.0,95.0,7.0,3.5,0.5
project0204.csv,30.0,6.0,16.0,1.0,14.0,1.0,58.0,2.0,41.0,32.0,7.0,0.0
project0205.csv,57.0,10.0,29.0,4.0,25.0,8.0,231.0,10.0,209.0,54.0,5.0,0.0
project0206.csv,13.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,50.0,2.0,1.0
project0207.csv,41.0,6.0,3.0,0.0,3.5,2.0,7.5,17.0,176.0,21.5,5.0,0.0
project0208.csv,11.5,4.0,6.0,1.0,5.0,1.0,18.0,1.0,34.0,117.5,14.0,1.0
project0209.csv,43.0,6.0,12.5,1.0,11.5,1.0,71.0,2.0,79.0,58.0,5.5,0.0
project0210.csv,32.5,8.0,30.0,4.0,25.0,6.0,79.5,7.0,274.0,106.5,14.0,1.0
project0211.csv,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,2.0,0.0
project0212.csv,52.0,19.0,2.0,1.0,1.0,1.0,16.5,0.0,73.0,75.5,29.5,0.0
project0213.csv,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,50.0,3.0,0.0
project0214.csv,21.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,81.0,36.0,9.0,1.0
project0215.csv,54.0,14.0,59.0,7.0,52.0,3.0,163.0,12.0,190.0,53.0,15.0,0.0
project0216.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.5,48.5,20.0,2.0
project0217.csv,56.0,9.0,2.0,1.0,1.0,1.0,65.0,0.0,219.0,17.0,3.0,0.0
project0218.csv,45.0,9.0,0.0,0.0,0.0,0.0,0.0,2.5,54.5,26.0,9.5,1.0
project0219.csv,54.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,43.0,19.0,4.0,1.0
project0220.csv,79.0,15.0,6.0,2.0,2.0,1.0,15.0,8.0,192.0,208.0,69.0,3.0
project0221.csv,12.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,7.0,44.5,14.5,1.0
